Country,Cod,Pop_est,Leitos,Inicio,lock1,tau lock1,lock2,tau lock2,lock3,tau lock3,lock4,tau lock4,lock5,tau lock5,lock6,tau lock6
Palestine,146,4569087,,31/12/2019,,,31/03/2020,0.33,,,,,,,,
Panama,147,4176873,,31/12/2019,,,31/03/2020,0.33,,,,,,,,
Papua_New_Guinea,148,8606316,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Paraguay,149,6956071,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Peru,150,31989256,,31/12/2019,,,,,,,,,,,,
Philippines,151,106651922,,31/12/2019,,,,,,,,,,,,
Poland,152,37978548,1574,31/12/2019,,,,,,,,,13/03/2020,0.67,,
Portugal,153,10281762,312,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Puerto_Rico,154,3195153,,31/12/2019,,,,,,,,,,,,
Qatar,155,2781677,,31/12/2019,,,,,,,,,,,,
Romania,156,19473936,2294,31/12/2019,,,,,,,,,,,,
Russia,157,144478050,9053,31/12/2019,,,,,,,,,31/03/2020,0.67,,
Rwanda,158,12301939,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Saint_Kitts_and_Nevis,159,52441,,31/12/2019,,,,,,,,,,,,
Saint_Lucia,160,181889,,31/12/2019,,,,,,,,,,,,
Saint_Vincent_and_the_Grenadines,161,110210,,31/12/2019,,,,,,,,,,,,
San_Marino,162,33785,,31/12/2019,,,,,,,,,,,,
Sao_Tome_and_Principe,163,211028,,31/12/2019,,,,,,,,,,,,
Saudi_Arabia,164,33699947,,31/12/2019,,,,,06/04/2020,0.53,,,,,,
Senegal,165,15854360,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Serbia,166,6982084,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Seychelles,167,96762,,31/12/2019,,,,,,,,,,,,
Sierra_Leone,168,7650154,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Singapore,169,5638676,,31/12/2019,,,16/03/2020,0.33,07/04/2020,0.53,,,,,,
Sint_Maarten,170,41486,,31/12/2019,,,,,,,,,,,,
Slovakia,171,5447011,102,31/12/2019,15/03/2020,0.15,16/03/2020,0.33,,,,,,,,
Slovenia,172,2067372,90,31/12/2019,,,,,,,,,,,,
Somalia,173,15008154,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
South_Africa,174,57779622,,31/12/2019,,,,,26/03/2020,0.53,,,,,,
South_Korea,175,51635256,4132,31/12/2019,,,,,,,,,,,,
South_Sudan,176,10975920,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Spain,177,46723749,3063,31/12/2019,,,,,,,,,14/03/2020,0.67,,
Sri_Lanka,178,21670000,,31/12/2019,,,,,,,,,,,,
Sudan,179,41801533,,31/12/2019,,,,,,,,,,,,
Suriname,180,575991,,31/12/2019,,,,,,,,,,,,
Sweden,181,10183175,216,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Switzerland,182,8516543,763,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Syria,183,16906283,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Taiwan,184,23780452,,31/12/2019,,,,,,,,,,,,
Thailand,185,69428524,,31/12/2019,,,,,,,,,03/04/2020,0.67,,
Timor_Leste,186,1267972,,31/12/2019,,,,,,,,,,,,
Togo,187,7889094,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Trinidad_and_Tobago,188,1389858,,31/12/2019,,,,,,,,,,,,
Tunisia,189,11565204,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Turkey,190,82319724,26029,31/12/2019,,,,,,,,,,,,
Turks_and_Caicos_islands,191,31458,,31/12/2019,,,,,,,,,,,,
Uganda,192,42723139,,31/12/2019,,,,,,,,,,,,
Ukraine,193,44622516,,31/12/2019,,,,,,,,,17/03/2020,0.67,,
United_Arab_Emirates,194,9630959,,31/12/2019,,,16/03/2020,0.33,26/03/2020,0.53,,,,,,
United_Kingdom,195,66488991,3296,31/12/2019,,,,,23/03/2020,0.53,,,,,,
United_Republic_of_Tanzania,196,56318348,,31/12/2019,,,,,,,,,,,,
United_States_of_America,197,327167434,72657,31/12/2019,,,,,,,,,,,,
United_States_Virgin_Islands,198,106977,,31/12/2019,,,,,,,,,,,,
Uruguay,199,3449299,,31/12/2019,,,31/03/2020,0.33,,,,,,,,
Uzbekistan,200,32955400,,31/12/2019,,,,,,,,,,,,
Venezuela,201,28870195,,31/12/2019,,,,,,,,,,,,
Vietnam,202,95540395,,31/12/2019,,,,,,,,,,,,
Yemen,203,28498687,,31/12/2019,,,,,,,,,,,,
Zambia,204,17351822,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Zimbabwe,205,14439018,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
