UF,Municipio,UF_COD,ibgeID,Pop_estimada,Leitos,Inicio,lock_1,tau lock1,lock_2,tau lock2,lock_3,tau lock3,lock_4,tau lock4,lock_5,tau lock5,lock_6,tau lock6
PA,Castanhal,15,1502400,200793,441,25/02/2020,,,,,,,,,,,,
PA,Chaves,15,1502509,23717,441,25/02/2020,,,,,,,,,,,,
PA,Colares,15,1502608,12085,441,25/02/2020,,,,,,,,,,,,
PA,Conceicao do Araguaia,15,1502707,47864,441,25/02/2020,,,,,,,,,,,,
PA,Concordia do Para,15,1502756,33318,441,25/02/2020,,,,,,,,,,,,
PA,Cumaru do Norte,15,1502764,13473,441,25/02/2020,,,,,,,,,,,,
PA,Curionopolis,15,1502772,17929,441,25/02/2020,,,,,,,,,,,,
PA,Curralinho,15,1502806,34448,441,25/02/2020,,,,,,,,,,,,
PA,Curua,15,1502855,14393,441,25/02/2020,,,,,,,,,,,,
PA,Curuca,15,1502905,40066,441,25/02/2020,,,,,,,,,,,,
PA,Dom Eliseu,15,1502939,59719,441,25/02/2020,,,,,,,,,,,,
PA,Eldorado do Carajas,15,1502954,33808,441,25/02/2020,,,,,,,,,,,,
PA,Faro,15,1503002,7194,441,25/02/2020,,,,,,,,,,,,
PA,Floresta do Araguaia,15,1503044,20304,441,25/02/2020,,,,,,,,,,,,
PA,Garrafao do Norte,15,1503077,26066,441,25/02/2020,,,,,,,,,,,,
PA,Goianesia do Para,15,1503093,40475,441,25/02/2020,,,,,,,,,,,,
PA,Gurupa,15,1503101,33376,441,25/02/2020,,,,,,,,,,,,
PA,Igarape-Acu,15,1503200,38807,441,25/02/2020,,,,,,,,,,,,
PA,Igarape-Miri,15,1503309,62698,441,25/02/2020,,,,,,,,,,,,
PA,Inhangapi,15,1503408,11711,441,25/02/2020,,,,,,,,,,,,
PA,Ipixuna do Para,15,1503457,64053,441,25/02/2020,,,,,,,,,,,,
PA,Irituia,15,1503507,32550,441,25/02/2020,,,,,,,,,,,,
PA,Itaituba,15,1503606,101247,441,25/02/2020,,,,,,,,,,,,
PA,Itupiranga,15,1503705,53269,441,25/02/2020,,,,,,,,,,,,
PA,Jacareacanga,15,1503754,8239,441,25/02/2020,,,,,,,,,,,,
PA,Jacunda,15,1503804,59155,441,25/02/2020,,,,,,,,,,,,
PA,Juruti,15,1503903,57943,441,25/02/2020,,,,,,,,,,,,
PA,Limoeiro do Ajuru,15,1504000,28935,441,25/02/2020,,,,,,,,,,,,
PA,Mae do Rio,15,1504059,30077,441,25/02/2020,,,,,,,,,,,,
PA,Magalhaes Barata,15,1504109,8548,441,25/02/2020,,,,,,,,,,,,
PA,Maraba,15,1504208,279349,441,25/02/2020,,,,,,,,,,,,
PA,Maracana,15,1504307,29473,441,25/02/2020,,,,,,,,,,,,
PA,Marapanim,15,1504406,28336,441,25/02/2020,,,,,,,,,,,,
PA,Marituba,15,1504422,131521,441,25/02/2020,,,,,,,,,,,,
PA,Medicilandia,15,1504455,31597,441,25/02/2020,,,,,,,,,,,,
PA,Melgaco,15,1504505,27654,441,25/02/2020,,,,,,,,,,,,
PA,Mocajuba,15,1504604,31136,441,25/02/2020,,,,,,,,,,,,
PA,Moju,15,1504703,82094,441,25/02/2020,,,,,,,,,,,,
PA,Mojui dos Campos,15,1504752,16084,441,25/02/2020,,,,,,,,,,,,
PA,Monte Alegre,15,1504802,58032,441,25/02/2020,,,,,,,,,,,,
PA,Muana,15,1504901,40349,441,25/02/2020,,,,,,,,,,,,
PA,Nova Esperanca do Piria,15,1504950,21368,441,25/02/2020,,,,,,,,,,,,
PA,Nova Ipixuna,15,1504976,16678,441,25/02/2020,,,,,,,,,,,,
PA,Nova Timboteua,15,1505007,15363,441,25/02/2020,,,,,,,,,,,,
PA,Novo Progresso,15,1505031,25762,441,25/02/2020,,,,,,,,,,,,
PA,Novo Repartimento,15,1505064,75919,441,25/02/2020,,,,,,,,,,,,
PA,Obidos,15,1505106,52137,441,25/02/2020,,,,,,,,,,,,
PA,Oeiras do Para,15,1505205,32512,441,25/02/2020,,,,,,,,,,,,
PA,Oriximina,15,1505304,73096,441,25/02/2020,,,,,,,,,,,,
PA,Ourem,15,1505403,17842,441,25/02/2020,,,,,,,,,,,,
PA,Ourilandia do Norte,15,1505437,32832,441,25/02/2020,,,,,,,,,,,,
PA,Pacaja,15,1505486,47706,441,25/02/2020,,,,,,,,,,,,
PA,Palestina do Para,15,1505494,7589,441,25/02/2020,,,,,,,,,,,,
PA,Paragominas,15,1505502,113145,441,25/02/2020,,,,,,,,,,,,
PA,Parauapebas,15,1505536,208273,441,25/02/2020,,,,,,,,,,,,
PA,Pau D Arco,15,1505551,5483,441,25/02/2020,,,,,,,,,,,,
PA,Peixe-Boi,15,1505601,8077,441,25/02/2020,,,,,,,,,,,,
PA,Picarra,15,1505635,12981,441,25/02/2020,,,,,,,,,,,,
PA,Placas,15,1505650,30982,441,25/02/2020,,,,,,,,,,,,
PA,Ponta de Pedras,15,1505700,31082,441,25/02/2020,,,,,,,,,,,,
PA,Portel,15,1505809,62043,441,25/02/2020,,,,,,,,,,,,
PA,Porto de Moz,15,1505908,41135,441,25/02/2020,,,,,,,,,,,,
PA,Prainha,15,1506005,29866,441,25/02/2020,,,,,,,,,,,,
PA,Primavera,15,1506104,10825,441,25/02/2020,,,,,,,,,,,,
PA,Quatipuru,15,1506112,13608,441,25/02/2020,,,,,,,,,,,,
PA,Redencao,15,1506138,84787,441,25/02/2020,,,,,,,,,,,,
PA,Rio Maria,15,1506161,18193,441,25/02/2020,,,,,,,,,,,,
PA,Rondon do Para,15,1506187,52357,441,25/02/2020,,,,,,,,,,,,
PA,Ruropolis,15,1506195,50510,441,25/02/2020,,,,,,,,,,,,
PA,Salinopolis,15,1506203,40675,441,25/02/2020,,,,,,,,,,,,
PA,Salvaterra,15,1506302,23752,441,25/02/2020,,,,,,,,,,,,
PA,Santa Barbara do Para,15,1506351,21079,441,25/02/2020,,,,,,,,,,,,
PA,Santa Cruz do Arari,15,1506401,10128,441,25/02/2020,,,,,,,,,,,,
PA,Santa Izabel do Para,15,1506500,70801,441,25/02/2020,,,,,,,,,,,,
PA,Santa Luzia do Para,15,1506559,19848,441,25/02/2020,,,,,,,,,,,,
PA,Santa Maria das Barreiras,15,1506583,21449,441,25/02/2020,,,,,,,,,,,,
PA,Santa Maria do Para,15,1506609,24861,441,25/02/2020,,,,,,,,,,,,
PA,Santana do Araguaia,15,1506708,72817,441,25/02/2020,,,,,,,,,,,,
PA,Santarem,15,1506807,304589,441,25/02/2020,,,,,,,,,,,,
PA,Santarem Novo,15,1506906,6709,441,25/02/2020,,,,,,,,,,,,
PA,Santo Antonio do Taua,15,1507003,31482,441,25/02/2020,,,,,,,,,,,,
PA,Sao Caetano de Odivelas,15,1507102,18050,441,25/02/2020,,,,,,,,,,,,
PA,Sao Domingos do Araguaia,15,1507151,25557,441,25/02/2020,,,,,,,,,,,,
PA,Sao Domingos do Capim,15,1507201,31989,441,25/02/2020,,,,,,,,,,,,
PA,Sao Felix do Xingu,15,1507300,128481,441,25/02/2020,,,,,,,,,,,,
PA,Sao Francisco do Para,15,1507409,15882,441,25/02/2020,,,,,,,,,,,,
PA,Sao Geraldo do Araguaia,15,1507458,24847,441,25/02/2020,,,,,,,,,,,,
PA,Sao Joao da Ponta,15,1507466,6139,441,25/02/2020,,,,,,,,,,,,
PA,Sao Joao de Pirabas,15,1507474,23045,441,25/02/2020,,,,,,,,,,,,
PA,Sao Joao do Araguaia,15,1507508,13996,441,25/02/2020,,,,,,,,,,,,
PA,Sao Miguel do Guama,15,1507607,58986,441,25/02/2020,,,,,,,,,,,,
PA,Sao Sebastiao da Boa Vista,15,1507706,26640,441,25/02/2020,,,,,,,,,,,,
PA,Sapucaia,15,1507755,5930,441,25/02/2020,,,,,,,,,,,,
PA,Senador Jose Porfirio,15,1507805,11658,441,25/02/2020,,,,,,,,,,,,
PA,Soure,15,1507904,25374,441,25/02/2020,,,,,,,,,,,,
PA,Tailandia,15,1507953,106339,441,25/02/2020,,,,,,,,,,,,
PA,Terra Alta,15,1507961,11720,441,25/02/2020,,,,,,,,,,,,
PA,Terra Santa,15,1507979,18769,441,25/02/2020,,,,,,,,,,,,
PA,Tome-Acu,15,1508001,63447,441,25/02/2020,,,,,,,,,,,,
PA,Tracuateua,15,1508035,30959,441,25/02/2020,,,,,,,,,,,,
PA,Trairao,15,1508050,18989,441,25/02/2020,,,,,,,,,,,,
PA,Tucuma,15,1508084,39602,441,25/02/2020,,,,,,,,,,,,
PA,Tucurui,15,1508100,113659,441,25/02/2020,,,,,,,,,,,,
PA,Ulianopolis,15,1508126,59210,441,25/02/2020,,,,,,,,,,,,
PA,Uruara,15,1508159,45476,441,25/02/2020,,,,,,,,,,,,
PA,Vigia,15,1508209,53686,441,25/02/2020,,,,,,,,,,,,
PA,Viseu,15,1508308,61403,441,25/02/2020,,,,,,,,,,,,
PA,Vitoria do Xingu,15,1508357,15134,441,25/02/2020,,,,,,,,,,,,
PA,Xinguara,15,1508407,44751,441,25/02/2020,,,,,,,,,,,,
AP,Serra do Navio,16,1600055,5397,28,25/02/2020,,,,,,,,,,,,
AP,Amapa,16,1600105,9109,28,25/02/2020,,,,,,,,,,,,
AP,Pedra Branca do Amapari,16,1600154,16502,28,25/02/2020,,,,,,,,,,,,
AP,Calcoene,16,1600204,11117,28,25/02/2020,,,,,,,,,,,,
AP,Cutias,16,1600212,5983,28,25/02/2020,,,,,,,,,,,,
AP,Ferreira Gomes,16,1600238,7780,28,25/02/2020,,,,,,,,,,,,
AP,Itaubal,16,1600253,5503,28,25/02/2020,,,,,,,,,,,,
AP,Laranjal do Jari,16,1600279,50410,28,25/02/2020,,,,,,,,,,,,
AP,Macapa,16,1600303,503327,28,25/02/2020,,,,,,,,,,,,
AP,Mazagao,16,1600402,21632,28,25/02/2020,,,,,,,,,,,,
AP,Oiapoque,16,1600501,27270,28,25/02/2020,,,,,,,,,,,,
AP,Porto Grande,16,1600535,21971,28,25/02/2020,,,,,,,,,,,,
AP,Pracuuba,16,1600550,5120,28,25/02/2020,,,,,,,,,,,,
AP,Santana,16,1600600,121364,28,25/02/2020,,,,,,,,,,,,
AP,Tartarugalzinho,16,1600709,17315,28,25/02/2020,,,,,,,,,,,,
AP,Vitoria do Jari,16,1600808,15931,28,25/02/2020,,,,,,,,,,,,
TO,Abreulandia,17,1700251,2579,63,25/02/2020,,,,,,,,,,,,
TO,Aguiarnopolis,17,1700301,6733,63,25/02/2020,,,,,,,,,,,,
TO,Alianca do Tocantins,17,1700350,5390,63,25/02/2020,,,,,,,,,,,,
TO,Almas,17,1700400,7055,63,25/02/2020,,,,,,,,,,,,
TO,Alvorada,17,1700707,8412,63,25/02/2020,,,,,,,,,,,,
TO,Ananas,17,1701002,9549,63,25/02/2020,,,,,,,,,,,,
TO,Angico,17,1701051,3433,63,25/02/2020,,,,,,,,,,,,
TO,Aparecida do Rio Negro,17,1701101,4795,63,25/02/2020,,,,,,,,,,,,
TO,Aragominas,17,1701309,5758,63,25/02/2020,,,,,,,,,,,,
TO,Araguacema,17,1701903,7086,63,25/02/2020,,,,,,,,,,,,
TO,Araguacu,17,1702000,8517,63,25/02/2020,,,,,,,,,,,,
TO,Araguaina,17,1702109,180470,63,25/02/2020,,,,,,,,,,,,
TO,Araguana,17,1702158,5729,63,25/02/2020,,,,,,,,,,,,
TO,Araguatins,17,1702208,35761,63,25/02/2020,,,,,,,,,,,,
TO,Arapoema,17,1702307,6643,63,25/02/2020,,,,,,,,,,,,
TO,Arraias,17,1702406,10567,63,25/02/2020,,,,,,,,,,,,
TO,Augustinopolis,17,1702554,18412,63,25/02/2020,,,,,,,,,,,,
TO,Aurora do Tocantins,17,1702703,3757,63,25/02/2020,,,,,,,,,,,,
TO,Axixa do Tocantins,17,1702901,9756,63,25/02/2020,,,,,,,,,,,,
TO,Babaculandia,17,1703008,10664,63,25/02/2020,,,,,,,,,,,,
TO,Bandeirantes do Tocantins,17,1703057,3553,63,25/02/2020,,,,,,,,,,,,
TO,Barra do Ouro,17,1703073,4591,63,25/02/2020,,,,,,,,,,,,
